Molecule,sp2 Pair Count C-C,sp2 Pair Count C-O,sp2 Pair Count O-O,sp2 Total Count,sp3 Pair Count C-C,sp3 Pair Count C-F,sp3 Pair Count C-O,sp3 Pair Count O-O,sp3 Total Count,Num. Atoms C,Num. Atoms F,Num. Atoms O,Torsions Number of Rot. Bonds,C-C-C-C Torsions,C-C-C-F Torsions,C-C-O-C Torsions,C-O-C-C Torsions,C-O-C-F Torsions,F-C-C-C Torsions,F-C-C-F Torsions,F-C-C-O Torsions,F-C-O-C Torsions,O-C-C-C Torsions,O-C-C-F Torsions,O-C-C-O Torsions,O-C-O-C Torsions,O-O-C-C Torsions,O-O-C-F Torsions
C8F18,0.0,0.0,0.0,0.0,7.0,18.0,0.0,0.0,25.0,8.0,18.0,0.0,7,5.0,13.0,0.0,0.0,0.0,13.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CF3H,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2F5H,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,6.0,2.0,5.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3F7H,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,9.0,3.0,7.0,0.0,2,0.0,3.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4F9H,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,12.0,4.0,9.0,0.0,3,1.0,5.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sC4F9H,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,12.0,4.0,9.0,0.0,3,1.0,8.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C5F11H,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,15.0,5.0,11.0,0.0,4,2.0,7.0,0.0,0.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C6F13H,0.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,18.0,6.0,13.0,0.0,5,3.0,9.0,0.0,0.0,0.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C7F15H,0.0,0.0,0.0,0.0,6.0,15.0,0.0,0.0,21.0,7.0,15.0,0.0,6,4.0,11.0,0.0,0.0,0.0,10.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C8F17H,0.0,0.0,0.0,0.0,7.0,17.0,0.0,0.0,24.0,8.0,17.0,0.0,7,5.0,13.0,0.0,0.0,0.0,12.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cC3F6,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,9.0,3.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3F6,1.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,7.0,3.0,6.0,0.0,1,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cC4F8,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,12.0,4.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C4F8,1.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,10.0,4.0,8.0,0.0,2,1.0,5.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C4F8_OH,0.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,12.0,4.0,8.0,1.0,3,1.0,5.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2C4F8_OH,0.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,12.0,4.0,8.0,1.0,3,1.0,7.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
2C4F8,1.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,10.0,4.0,8.0,0.0,2,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rC4F8,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,11.0,4.0,8.0,0.0,3,1.0,4.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C5F10,1.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,13.0,5.0,10.0,0.0,3,2.0,7.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2C5F10,1.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,13.0,5.0,10.0,0.0,3,1.0,8.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C6F12,1.0,0.0,0.0,1.0,4.0,12.0,0.0,0.0,16.0,6.0,12.0,0.0,4,3.0,9.0,0.0,0.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2C6F12,1.0,0.0,0.0,1.0,4.0,12.0,0.0,0.0,16.0,6.0,12.0,0.0,4,2.0,10.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C7F14,1.0,0.0,0.0,1.0,5.0,14.0,0.0,0.0,19.0,7.0,14.0,0.0,5,4.0,11.0,0.0,0.0,0.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2C7F14,1.0,0.0,0.0,1.0,5.0,14.0,0.0,0.0,19.0,7.0,14.0,0.0,5,3.0,12.0,0.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C8F16,1.0,0.0,0.0,1.0,6.0,16.0,0.0,0.0,22.0,8.0,16.0,0.0,6,5.0,13.0,0.0,0.0,0.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2C8F16,1.0,0.0,0.0,1.0,6.0,16.0,0.0,0.0,22.0,8.0,16.0,0.0,6,4.0,14.0,0.0,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sC3F7,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,9.0,3.0,7.0,0.0,2,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sC4F9,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,12.0,4.0,9.0,0.0,3,1.0,8.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sC5F11,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,15.0,5.0,11.0,0.0,4,2.0,10.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sC6F13,0.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,18.0,6.0,13.0,0.0,5,3.0,12.0,0.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sC7F15,0.0,0.0,0.0,0.0,6.0,15.0,0.0,0.0,21.0,7.0,15.0,0.0,6,4.0,14.0,0.0,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sC8F17,0.0,0.0,0.0,0.0,7.0,17.0,0.0,0.0,24.0,8.0,17.0,0.0,7,5.0,16.0,0.0,0.0,0.0,9.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2F4H2O,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,6.0,2.0,4.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
PFHPAL,0.0,1.0,0.0,1.0,6.0,14.0,0.0,0.0,20.0,7.0,14.0,1.0,6,4.0,11.0,0.0,0.0,0.0,9.0,24.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
PFHXAL,0.0,1.0,0.0,1.0,5.0,12.0,0.0,0.0,17.0,6.0,12.0,1.0,5,3.0,9.0,0.0,0.0,0.0,7.0,20.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
PFPNAL,0.0,1.0,0.0,1.0,4.0,10.0,0.0,0.0,14.0,5.0,10.0,1.0,4,2.0,7.0,0.0,0.0,0.0,5.0,16.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
PFBAL,0.0,1.0,0.0,1.0,3.0,8.0,0.0,0.0,11.0,4.0,8.0,1.0,3,1.0,5.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
PFPAL,0.0,1.0,0.0,1.0,2.0,6.0,0.0,0.0,8.0,3.0,6.0,1.0,2,0.0,3.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
TFAL,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,5.0,2.0,4.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
CFOH3,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,1.0,1.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH2F,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CF2OH2,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,1.0,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LACTONE,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,5.0,2.0,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CF2H,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COOH2,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHO2H,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFHO,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFOH,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFO2H,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFO2,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CF2COHO,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,4.0,2.0,2.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
COOH,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CF3CO,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0,2.0,3.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
CHFO2,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CF2O_OH,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,1.0,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFCOF_OH,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,7.0,2.0,4.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
HFPO-DA,0.0,1.0,0.0,1.0,4.0,11.0,3.0,0.0,18.0,6.0,11.0,3.0,6,0.0,6.0,2.0,1.0,2.0,2.0,13.0,0.0,1.0,3.0,7.0,2.0,0.0,0.0,0.0
HFPO-DAF,0.0,1.0,0.0,1.0,4.0,12.0,2.0,0.0,18.0,6.0,12.0,2.0,6,0.0,6.0,2.0,1.0,2.0,3.0,14.0,1.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0
HFPO-DAlac,0.0,1.0,0.0,1.0,4.0,10.0,4.0,0.0,18.0,6.0,10.0,3.0,5,0.0,6.0,2.0,1.0,2.0,2.0,10.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0
HFPO-DAester,0.0,1.0,0.0,1.0,3.0,10.0,2.0,0.0,15.0,5.0,10.0,2.0,5,0.0,3.0,1.0,1.0,2.0,2.0,10.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0
HFPO-DAest_OH,0.0,0.0,0.0,0.0,3.0,10.0,4.0,0.0,17.0,5.0,10.0,3.0,5,0.0,3.0,1.0,1.0,2.0,2.0,10.0,0.0,0.0,1.0,11.0,0.0,2.0,0.0,0.0
HFPO-DAF_OH,0.0,0.0,0.0,0.0,4.0,12.0,4.0,0.0,20.0,6.0,12.0,3.0,6,0.0,6.0,2.0,1.0,2.0,3.0,14.0,1.0,1.0,3.0,7.0,2.0,0.0,0.0,0.0
E1,0.0,0.0,0.0,0.0,3.0,11.0,2.0,0.0,16.0,5.0,11.0,1.0,5,0.0,3.0,1.0,1.0,2.0,2.0,13.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0
E1_minusH,0.0,0.0,0.0,0.0,3.0,11.0,2.0,0.0,16.0,5.0,11.0,1.0,5,0.0,3.0,1.0,1.0,2.0,2.0,13.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0
