Log Files,Molecule,SMILES,a0,a1,a2,a3,a4,H_f_0K,S(300K)
butane.log,C4F10,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8.0151,0.16889,-0.00016744,0.0000000765,-1.32E-11,-516.57,112.543919
c4f7_o.log,C4F7O,[C](F)(C(=O)F)C(C(F)(F)F)(F)F,8.9241,0.13439,-0.00013079,0.0000000591,-1.01E-11,-300.33,106.98
c4_rad.log,C4F9,C(F)(F)([C](F)F)C(C(F)(F)F)(F)F,8.816,0.15248,-0.00015088,0.0000000688,-1.18E-11,-409.98,114.89
butane1H.log,C4F9H,C(F)(F)(F)C(F)(F)C(F)(F)C(F)F,7.3881,0.1577,-0.00014927,0.0000000661,-1.11E-11,-458.61,108.51
c4f9oh.log,C4F9OH,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)O,8.3241,0.17634,-0.00017406,0.0000000797,-1.38E-11,-510.19,113.68
c5_rad.log,C5F11,C(F)(F)(C(F)(F)[C](F)F)C(C(F)(F)F)(F)F,12.509,0.1821,-0.00017635,0.0000000789,-1.33E-11,-507.44,124.440708
pentane1H.log,C5F11H,C(F)(F)(C(F)(F)C(F)(F)C(F)F)C(F)(F)F,9.373,0.19517,-0.00018633,0.000000083,-1.4E-11,-556.45,123.18
c5f11oh.log,C5F11OH,C(F)(F)(C(F)(F)C(F)(F)O)C(C(F)(F)F)(F)F,10.013,0.21486,-0.00021245,0.0000000973,-1.68E-11,-608.21,127.61
pentane.log,C5F12,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,9.7925,0.20703,-0.00020533,0.0000000938,-1.61E-11,-615.05,126.598051
c6_rad.log,C6F13,C(F)(F)(C(F)(F)[C](F)F)C(C(F)(F)C(F)(F)F)(F)F,14.833,0.21805,-0.00021118,0.0000000944,-1.59E-11,-605.04,138.77868
hexane1H.log,C6F13H,C(F)(F)(C(F)(F)C(F)(F)C(F)F)C(C(F)(F)F)(F)F,10.96,0.23396,-0.00022504,0.000000101,-1.71E-11,-654.01,136.85
c6f13oh.log,C6F13OH,C(F)(F)(C(F)(F)C(F)(F)O)C(C(C(F)(F)F)(F)F)(F)F,11.677,0.2534,-0.00025085,0.000000115,-1.98E-11,-705.78,141.33
hexane.log,C6F14,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,11.36,0.24597,-0.00024426,0.00000011171,-1.92E-11,-713.26,139.81
1_octane_c7_rad.log,C7F15,C(F)(F)(C(F)(F)[C](F)F)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,16.979,0.25448,-0.00024654,0.00000011,-1.86E-11,-702.8,152.659706
heptane1H.log,C7F15H,C(F)(F)(C(F)(F)C(F)(F)C(F)F)C(C(F)(F)C(F)(F)F)(F)F,12.771,0.27204,-0.00026288,0.000000118,-2.01E-11,-751.79,150.76
c7f15oh.log,C7F15OH,C(F)(F)(C(F)(F)C(F)(F)O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,13.438,0.29164,-0.0002889,0.000000132,-2.28E-11,-803.55,155.44
heptane.log,C7F16,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(C(C(F)(F)F)(F)F)(F)F,13.078,0.28431,-0.00028241,0.000000129,-2.22E-11,-811.67,153.808976
1_octane_c8_rad.log,C8F17,C(F)(F)(C(F)(F)[C](F)F)C(C(F)(F)C(C(F)(F)C(F)(F)F)(F)F)(F)F,15.505,0.30662,-0.00030447,0.000000139,-2.4E-11,-800.34,166.66
octane1H.log,C8F17H,C(F)(F)(C(F)(F)C(F)(F)C(F)F)C(C(F)(F)C(F)(F)C(F)(F)F)(F)F,14.24,0.3113,-0.00030219,0.000000136,-2.32E-11,-958.27,164.19
