Molecule,IUPAC,sp2 Pair Count C-C,sp2 Pair Count C-O,sp2 Total Count,sp3 Pair Count C-C,sp3 Pair Count C-F,sp3 Pair Count C-H,sp3 Pair Count C-O,sp3 Pair Count F-H,sp3 Pair Count H-O,sp3 Pair Count O-O,sp3 Total Count,Num. Atoms C,Num. Atoms F,Num. Atoms H,Num. Atoms O,SMILES,Torsions Number of Rot. Bonds,C-C-C-C Torsions,C-C-C-F Torsions,C-C-C-H Torsions,C-C-C-O Torsions,C-C-O-C Torsions,C-C-O-H Torsions,C-C-O-O Torsions,C-O-C-C Torsions,C-O-C-F Torsions,C-O-C-H Torsions,C-O-C-O Torsions,F-C-C-C Torsions,F-C-C-F Torsions,F-C-C-H Torsions,F-C-C-O Torsions,F-C-O-C Torsions,F-C-O-H Torsions,F-C-O-O Torsions,H-C-C-C Torsions,H-C-C-F Torsions,H-C-C-H Torsions,H-C-C-O Torsions,H-C-O-C Torsions,H-C-O-H Torsions,H-O-C-C Torsions,H-O-C-F Torsions,H-O-C-O Torsions,O-C-C-C Torsions,O-C-C-F Torsions,O-C-C-H Torsions,O-C-C-O Torsions,O-C-O-C Torsions,O-C-O-H Torsions
pfhxoh,C6HF13O,0.0,0.0,0.0,5.0,13.0,0.0,1.0,0.0,1.0,0.0,20,6,13.0,1.0,1.0,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,3.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62rh,C8H5F13,0.0,0.0,0.0,7.0,13.0,5.0,0.0,0.0,0.0,0.0,25,8,13.0,5.0,0.0,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,5.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c6_rad,C6F13,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,18,6,13.0,0.0,0.0,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_octane_c8_rad,C8F17,0.0,0.0,0.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,24,8,17.0,0.0,0.0,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2h6,C2H6,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,7,2,0.0,6.0,0.0,CC,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_pentyl,C6F13,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,18,6,13.0,0.0,0.0,F[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,5,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c3f7oh,C3HF7O,0.0,0.0,0.0,2.0,7.0,0.0,1.0,0.0,1.0,0.0,11,3,7.0,1.0,1.0,OC(F)(F)C(F)(F)C(F)(F)F,3,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61_heptene,C7H2F12,1.0,0.0,1.0,5.0,12.0,2.0,0.0,0.0,0.0,0.0,19,7,12.0,2.0,0.0,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c3f6o2_1st,C3F6O2,0.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,1.0,10,3,6.0,0.0,2.0,[O]OC(F)(F)[C](F)C(F)(F)F,3,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hfp_2oh,C3HF6O,0.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,10,3,6.0,1.0,1.0,O[C@](F)([C](F)F)C(F)(F)F,3,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
