Molecule,IUPAC,sp2 Pair Count C-C,sp2 Pair Count C-O,sp2 Total Count,sp3 Pair Count C-C,sp3 Pair Count C-F,sp3 Pair Count C-H,sp3 Pair Count C-O,sp3 Pair Count F-H,sp3 Pair Count H-O,sp3 Pair Count O-O,sp3 Total Count,Num. Atoms C,Num. Atoms F,Num. Atoms H,Num. Atoms O,SMILES,Torsions Number of Rot. Bonds,C-C-C-C Torsions,C-C-C-F Torsions,C-C-C-H Torsions,C-C-C-O Torsions,C-C-O-C Torsions,C-C-O-H Torsions,C-C-O-O Torsions,C-O-C-C Torsions,C-O-C-F Torsions,C-O-C-H Torsions,C-O-C-O Torsions,F-C-C-C Torsions,F-C-C-F Torsions,F-C-C-H Torsions,F-C-C-O Torsions,F-C-O-C Torsions,F-C-O-H Torsions,F-C-O-O Torsions,H-C-C-C Torsions,H-C-C-F Torsions,H-C-C-H Torsions,H-C-C-O Torsions,H-C-O-C Torsions,H-C-O-H Torsions,H-O-C-C Torsions,H-O-C-F Torsions,H-O-C-O Torsions,O-C-C-C Torsions,O-C-C-F Torsions,O-C-C-H Torsions,O-C-C-O Torsions,O-C-O-C Torsions,O-C-O-H Torsions
42ftoh,C6H5F9O,0.0,0.0,0.0,5.0,9.0,4.0,1.0,0.0,1.0,0.0,20,6,9.0,5.0,1.0,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,3.0,7.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hexene,C6F12,1.0,0.0,1.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,16,6,12.0,0.0,0.0,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pfooh,C8HF17O,0.0,0.0,0.0,7.0,17.0,0.0,1.0,0.0,1.0,0.0,26,8,17.0,1.0,1.0,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,5.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cf2o2_rad,CF2O2,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,4,1,2.0,0.0,2.0,[O]O[C](F)F,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
propane,C3H8,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,10,3,0.0,8.0,0.0,CCC,2,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cf3cf2chf,C3HF6,0.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,9,3,6.0,1.0,0.0,F[CH]C(F)(F)C(F)(F)F,2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hfp_2oh_1rad_prod,C3HF6O,0.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,10,3,6.0,1.0,1.0,O[C@@](F)([C](F)F)C(F)(F)F,3,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2Hbutane,C4HF9,0.0,0.0,0.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,13,4,9.0,1.0,0.0,F[C@H](C(F)(F)F)C(F)(F)C(F)(F)F,3,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hfp_1oh_ts,C3HF6O,1.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,8,3,6.0,1.0,1.0,O/C(F)=C(/F)C(F)(F)F.[F],2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_heptyl,C7F15,0.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,21,7,15.0,0.0,0.0,F[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51_hexene,C6H2F10,1.0,0.0,1.0,4.0,10.0,2.0,0.0,0.0,0.0,0.0,16,6,10.0,2.0,0.0,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cf2hcf2,C2HF4,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,6,2,4.0,1.0,0.0,F[C](F)C(F)F,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c3f5co,C3F5O,0.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,7,3,5.0,0.0,1.0,O=C(F)[C](F)C(F)(F)F,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cbutane_diradical,C4F8,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,11,4,8.0,0.0,0.0,F[C](F)C(F)(F)C(F)(F)[C](F)F,3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
