SMILES,Log Names,Log Files
C(C(C(C(=O)F)(F)F)(F)F)(F)(F)C(C(C(F)(F)F)(F)F)(F)F,pfocof,pfocof.log
C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)(F)F,hexane,hexane.log
C(F)(F)(C(F)(F)C(F)(F)C(F)(F)O)F,pfboh,pfboh.log
C(F)(F)(CCS([O])([O])O)C(C(F)(F)C(F)(F)F)(F)F,42_fts,42_fts.log
C(F)(F)(C(F)(F)S([O])([O])O)F,pfets,pfets.log
C(F)(F)(C(=C(F)F)F)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,heptene,heptene.log
C(F)(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,2_pentyl,2_pentyl.log
C(C(C(C(C(CC)(F)F)(F)F)(F)F)(F)F)(F)(F)F,52rh,52rh.log
C(C(C(C(S([O])([O])O)(F)F)(F)F)(F)F)(F)(F)F,pfbs,pfbs.log
C(C(C(=O)F)(F)F)(F)(F)F,pfprcof,pfprcof.log
C(C(F)(F)F)(F)F,c2f5h,c2f5h.log
[C](C(F)(F)O[O])(F)C(F)(F)F,c3f6o2_1st,c3f6o2_1st.log
C(F)(F)(C(=C)F)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,61_heptene,61_heptene.log
C(F)(F)([C](F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,3_pentyl,3_pentyl.log
CC,c2h6,c2h6.log
C(F)(F)(F)C(F)(F)C(F)(F)O[C@@](C(=O)O)(C(F)(F)F)F,hfpo_da,hfpo_da.log
C(C(C(C(C(C(CC)(F)F)(F)F)(F)F)(F)F)(F)F)(F)(F)F,62rh,62rh.log
C(C(CCS(=O)(=O)N)(F)F)(F)(F)F,22_ftsa,22_ftsa.log
C(F)(F)(CCS([O])([O])O)C(C(F)(F)F)(F)F,32_fts,32_fts.log
C(F)(F)(C(F)(F)C(F)(F)C(F)(F)O)C(C(F)(F)F)(F)F,pfhxoh,pfhxoh.log
C(F)(F)(C(F)(F)C(F)(F)C(=O)O)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,pfoa,pfoa.log
C(F)(F)(C(F)([C@](F)([O])O)F)F,c3f6oOH2nd,c3f6oOH2nd.log
C(C(C(C(=O)F)(F)F)(F)F)(F)(F)C(C(F)(F)F)(F)F,pfhxcof,pfhxcof.log
C(F)(F)(F)C(F)(F)C(F)(F)O[C@]1(C(=O)O1)C(F)(F)F,frd_903_0HFAts_prod_minusHF,frd_903_0HFAts_prod_minusHF.log
F[C]=O,cof,cof.log
C(F)(F)(C(F)(C(F)(F)[O])F)F,c3f7o,c3f7o.log
C(F)(F)(C(F)(F)CCO)C(F)(F)F,32ftoh,32ftoh.log
C(F)(F)(C(F)(F)CCO)C(C(F)(F)C(F)(F)F)(F)F,52ftoh,52ftoh.log
C(F)(F)([C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,4_octyl,4_octyl.log
[C](=C(F)F)F,cf2cf,cf2cf.log
C(=[C]\F)(/F)\C(F)(F)F,propene_talphaF_rad,propene_talphaF_rad.log
C(F)(F)(F)C(F)(F)[C](F)F,c3f7,c3f7.log
C(F)(F)(C(F)(F)C(F)(F)S(=O)(=O)N)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,fhpsa,fhpsa.log
C(F)(F)(C(F)(F)CCO)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,62ftoh,62ftoh.log
C(F)(F)(F)C(F)(F)C(F)(F)O[C](C(F)(F)F)F,frd_c5f11o,frd_c5f11o.log
C(F)(F)(C(F)(F)[C](F)C(F)(F)F)C(F)(F)C(F)(F)F,c6_secondary_rad,c6_secondary_rad.log
FC([O])(O)F,cf2o_oh,cf2o_oh.log
C(=C(F)F)(F)C(F)(F)F,propene,propene.log
C(F)(F)(CCC(=O)O)C(C(F)(F)F)(F)F,33_ftca,33_ftca.log
C(F)(F)(C(=C(F)F)F)C(C(C(C(F)(F)C(F)(F)F)(F)F)(F)F)(F)F,octene,octene.log
C(F)(F)OC(=O)C(F)(F)F,cf2_tfa_prod,cf2_tfa_prod.log
C(F)(F)(C(F)(F)C(F)(F)S([O])([O])O)C(C(F)(F)C(F)(F)F)(F)F,pfhxs,pfhxs.log
C(F)(F)(C=C)C(C(F)(F)F)(F)F,32_pentene,32_pentene.log
C(F)(F)(C(=C)F)C(C(C(C(F)(F)C(F)(F)F)(F)F)(F)F)(F)F,71_octene,71_octene.log
C(F)(F)(C(F)(F)C(F)(F)C(=O)O)C(F)(F)F,pfpna,pfpna.log
C(F)(F)([C](F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,4_heptyl,4_heptyl.log
C(S(=O)(=O)N)(F)(F)F,triflate_amide,triflate_amide.log
[C](F)(C(F)(F)F)C(F)(F)F,2_propyl,2_propyl.log
[C](=O)O,cooh,cooh.log
C(C(C(CC)(F)F)(F)F)(F)(F)F,32rh,32rh.log
C(=C(F)F)(F)F,c2f4,c2f4.log
C(F)(F)(C(F)(F)C(=O)O)F,pfpra,pfpra.log
C(F)(F)(C(=C)F)F,21_propene,21_propene.log
C(F)(F)(F)C(F)(F)C(F)(F)O[C@@](C(=O)F)(C(F)(F)F)F,frd_903_cof,frd_903_cof.log
C(F)(F)(C=C)C(C(C(C(F)(F)C(F)(F)F)(F)F)(F)F)(F)F,62_octene,62_octene.log
C(C(CC)(F)F)(F)(F)F,22rh,22rh.log
C(F)(F)(C(F)(F)C(F)(F)S(=O)(=O)N)C(C(F)(F)C(F)(F)F)(F)F,fhxsa,fhxsa.log
C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)(F)F,1H_hexane,1H_hexane.log
C(F)(F)(C=C)C(F)(F)F,22_butene,22_butene.log
C(F)(F)(F)[C@@]([O])(F)O,tfcof_oh,tfcof_oh.log
C(F)(F)(F)C(F)(F)C(F)F,1H_propane,1H_propane.log
C(F)(F)(/C(=C(\F)/C(F)(F)F)/F)C(F)(F)F,2_pentene,2_pentene.log
C(F)(F)(C(F)(F)C(F)(F)C(=O)O)C(C(F)(F)F)(F)F,pfhxa,pfhxa.log
C(F)(F)(F)[O],cf3o.,cf3o.log
C(F)(F)(/C(=C(\F)/C(F)(F)F)/F)C(F)(F)C(F)(F)C(F)(F)F,2_heptene,2_heptene.log
C(F)(F)(F)[C](F)C(F)(F)C(F)(F)F,2_butyl,2_butyl.log
C(F)(F)(C(F)(F)CCO)C(C(F)(F)F)(F)F,42ftoh,42ftoh.log
C(F)(F)(O)F,pftoh,pftoh.log
C(C(C(C(=O)F)(F)F)(F)F)(F)(F)C(C(C(F)(F)F)(F)F)(F)F,pfhpcof,pfhpcof.log
C(F)(F)(C(=C(F)F)F)C(C(C(F)(F)F)(F)F)(F)F,hexene,hexene.log
C(F)(F)(C(F)(F)C(F)(F)S([O])([O])O)F,pfprs,pfprs.log
C(=C(F)C(C(F)(F)F)(F)F)(F)F,butene,butene.log
C(F)(F)(CCC(=O)O)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,53_ftca,53_ftca.log
C(F)(F)(/C(=C(\F)/C(F)(F)F)/F)F,2_butene,2_butene.log
C(F)(F)(F)C(F)(F)[C@](F)([O])O,c2f5cof_oh,c2f5cof_oh.log
C(F)(F)(C(F)(F)C(F)(F)S(=O)(=O)N)C(C(F)(F)F)(F)F,fpnsa,fpnsa.log
C(C(S(=O)(=O)N)(F)F)(F)(F)F,fetsa,fetsa.log
C(F)(F)(C(F)(F)C(F)(F)C(F)(F)O)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,pfooh,pfooh.log
C(C(C(C(=O)F)(F)F)(F)F)(F)(F)C(F)(F)F,pfpncof,pfpncof.log
C(F)(F)(C(=O)O)F,tfa,tfa.log
C(F)(F)F,1H_methane,1H_methane.log
[C](F)F,cf2,cf2.log
C(C(C(C(S(=O)(=O)NCC(=O)O)(F)F)(F)F)(F)F)(F)(F)F,nmefosaa,nmefosaa.log
C(F)(F)([C](F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,3_hexyl,3_hexyl.log
C(F)(F)(C(=C)F)C(C(C(F)(F)F)(F)F)(F)F,51_hexene,51_hexene.log
C(F)(F)([C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,3_heptyl,3_heptyl.log
C(F)(F)(F)C(F)(F)C(F)(F)OC(=O)C(F)(F)F,ester,ester.log
C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,1H_pentane,1H_pentane.log
C(F)(F)(F)[C](F)F,c2f5,c2f5.log
C(F)(F)(CCS([O])([O])O)C(C(F)(F)C(C(F)(F)C(F)(F)F)(F)F)(F)F,62_fts,62_fts.log
[C](F)(F)F,cf3,cf3.log
C(F)(F)(F)C(F)(F)C(F)(F)O,pfproh,pfproh.log
C(F)(F)(C(F)(F)C(F)(F)C(F)(F)O)C(C(F)(F)C(F)(F)F)(F)F,pfhpoh,pfhpoh.log
C(C(=O)F)(F)(F)F,tfcof,tfcof.log
C(F)(F)(CCS(=O)(=O)N)C(C(F)(F)C(C(F)(F)C(F)(F)F)(F)F)(F)F,62_ftsa,62_ftsa.log
C(C(F)(F)F)(F)(F)F,c2f6,c2f6.log
