Molecule,SMILES,C,F,sp3 Total Bond Count,Pair Count sp3 C-F,Pair Count sp3 C-C,sp2 Total Bond Count,Pair Count sp2 C-C,C-C-C-C,C-C-C-F,F-C-C-C,F-C-C-F,Number of Rot. Bonds,O,H,Pair Count sp3 H-O,Pair Count sp3 C-O,H-O-C-F,H-O-C-C,O-C-C-C,O-C-C-F,F-C-C-O,C-C-C-O,C-C-O-H,F-C-O-H,Pair Count sp2 C-O,Pair Count sp3 C-H,F-C-C-H,O-C-C-H,Pair Count sp3 O-O,C-C-O-O,F-C-O-O,C-C-C-H,H-C-O-H,O-C-O-H,H-O-C-O,C-C-O-C,F-C-O-C,C-O-C-H,C-O-C-F,C-O-C-C,H-C-C-F,O-C-C-O,C-O-C-O,O-C-O-C,H-C-C-C,H-C-C-O,H-C-C-H
c7_secondary_rad,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,15,21,178,53,,,4,13,8,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c8_secondary_rad,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,17,24,224,76,,,5,15,10,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1H_butane,FC(F)C(F)(F)C(F)(F)C(F)(F)F,4,9,13,67,20,,,1,5,4,14,3,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,2,,,,1,,
1H_decane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10,21,31,355,131,,,7,19,14,38,9,,1,,,,,,,,,,,,10,2,,,,,1,,,,,,,,,,,,,,,
1H_dodecane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,12,25,37,507,189,,,9,23,18,46,11,,1,,,,,,,,,,,,7,2,,,,,1,,,,,,,,,,,,,,,
1H_hexane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,13,19,144,27,,,3,8,9,22,5,,1,,,,,,,,,,,,19,2,,,,,1,,,,,,,,,,,,,,,
1H_pentane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,11,16,92,30,,,2,6,7,18,4,,1,,,,,,,,,,,,14,2,,,,,1,,,,,,,,,,,,,,,
1H_propane,FC(F)C(F)(F)C(F)(F)F,3,7,10,34,11,,,,2,3,10,2,,1,,,,,,,,,,,,10,2,,,,,1,,,,,,,,,,,,,,,
1H_undecane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,11,23,34,425,160,,,8,21,16,42,10,,1,,,,,,,,,,,,10,2,,,,,1,,,,,,,,,,,,,,,
22ftoh,OCCC(F)(F)C(F)(F)F,4,5,14,22,14,,,1,,5,6,4,1,5,14,11,,,,,,1,1,,,44,4,,,,,4,2,,,,,,,,,,,,,2,4
22rh,CCC(F)(F)C(F)(F)F,4,5,13,34,11,,,1,,5,6,3,,5,,,,,,,,,,,,46,4,,,,,5,,,,,,,,,,,,,,,6
23_ftca,O=C(O)CCC(F)(F)C(F)(F)F,5,5,15,45,20,1,,2,3,2,6,5,2,5,12,11,,,,,,2,1,,1,32,4,,,,,4,,1,,,,,,,,,,,2,4,4
