SMILES,Log Name
FC(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F,fprsa
OC(=O)OC(C(C(F)(F)F)(F)F)(F)F,c3_oco2h
O[C](C(C(F)(F)F)(F)F)F,hfp_1oh_1rad_prod
F[C](C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)C(C(F)(F)F)(F)F,3_octyl
FC1(F)C(F)(F)C(C1(F)F)(F)F,cbutane
FC(C(C(C(F)(F)F)(F)F)(F)F)(CCS(=O)(=O)N)F,42_ftsa
FC(C(OC(C(C(F)(F)F)(F)F)(F)F)(O)[O])(F)F,ester_oh
OC(=O)C(C(C(F)(F)F)(F)F)(F)F,pfba
F/C(=C(\C(F)(F)F)/F)/C(F)(F)F,2_butene_ip
F[C](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F,c5_rad
O=[C]C(F)(F)F,cf3co
O=O,o2
F/[C]=C(/C(F)(F)F)\F,propene_calpha_rad
OC(F)F.O,cf2_2h2o_prod
FC([C@@]1(F)OC1(F)F)(F)F,c3f6o
OC(=O)CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,43_ftca
FC(C(C(F)(F)F)(F)F)(C(F)(F)F)F,butane
O=C(C(F)(F)F)OC(C(C(F)(F)F)(F)F)(F)F,frd_903_0HFAts_prod_COlossprod
F[C](C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)C(F)(F)F,c7_secondary_rad
O,h2o
OC(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,1_hexane
[O]S(CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(O)[O],52_fts
FC(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,pfhxal
OC(=O)F,chfo2
FC(=C(C(C(C(F)(F)F)(F)F)(F)F)F)F,pentene
F/C(=C(\C(C(C(F)(F)F)(F)F)(F)F)/F)/C(F)(F)F,2_hexene
FC(=O)C(C(F)(F)F)(F)F,c2f5cof
[O]S(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(O)[O],pfpes
F[C](C(=O)O)F,cf2coho
[O]C(F)(F)O,cf2o_oh
F[C]F.O,cf2_h2o_ts_react
F[C@H](C(C(F)(F)F)(F)F)C(F)(F)F,c4f9H_secondary
F[C](C(F)(F)F)OC(C(C(F)(F)F)(F)F)(F)F,frd_c5f11o
OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,62ftoh
FC(C(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)F,fhpsa
OC(F)F,cf2_h2o_ts_prod
F/[C]=C(\C(F)(F)F)/F,propene_talphaF_rad
F[C]=C(F)F,cf2cf
FC(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,pfpnal
F[C](C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,1_octane_c7_rad
F[C](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(C(F)(F)F)(F)F)(F)F,4_octyl
FC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F,pentane1H
OCCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,52ftoh
OCCC(C(C(F)(F)F)(F)F)(F)F,32ftoh
O[C]F,cfoh_cis
FC(C(F)(F)F)(C(F)(F)[O])F,c3f7o
[O]C(F)(F)F,cf3o
F[C]=O,cof
FC(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F,n_octane_twisted
O=C1O[C@]1(OC(C(C(F)(F)F)(F)F)(F)F)C(F)(F)F,frd_903_0HFAts_prod_minusHF
FC(=O)[C](C(C(F)(F)F)(F)F)F,c4f7_o
FC(=C(C(C(C(F)(F)F)(F)F)(F)F)F)F.[F],c5_prim_sec_rad_isots
FC(=O)F.O,cf2o_h2o
OC(=O)O,cooh2
FC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)O)F,c7f15oh
F[C](C(=C(F)F)F)F,allyl
FC(C(F)(F)F)(C(F)(O)[O])F,c3f6oOH2nd
OC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,pfoa
FC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)O)F,pfhxoh
FC(C(C(F)(F)F)(F)F)(CCS(O)([O])[O])F,32_fts
FC(C(F)(F)F)(CCS(=O)(=O)N)F,22_ftsa
CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,62rh
FC=O,cfho
F[C](C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F,c6_rad
F[C](C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,1_octane_c8_rad
CC,c2h6
[O]C(=O)F,cfo2
F[C](C(C(C(F)(F)F)(F)F)(F)F)C(C(F)(F)F)(F)F,3_pentyl
FC(C(F)(F)F)(C(F)(F)O)F,c3f7oh
FC(=C)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,61_heptene
[O]OC([C](C(F)(F)F)F)(F)F,c3f6o2_1st
F/C(=C(\C(F)(F)F)/F)/C(F)(F)F.[F],c4_sec_sec_rad_isots
FC(C(C(C(F)(F)F)(F)F)(F)F)(S(O)([O])[O])F,pfbs
F[C]([C@@](C(F)(F)F)(F)O)F,hfp_2oh
CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,52rh
[CH2]F,ch2F
F[C](C([C](F)F)(F)F)F,cpropane_intts_prod
FC(=C)C(F)(F)F,21_propene
OC(=O)C(C(F)(F)F)(F)F,pfpra
[OH],oh
FC(C(C(F)(F)F)(F)F)F,propane1H
FC(=C(F)F)F,c2f4
CCC(C(C(F)(F)F)(F)F)(F)F,32rh
FC(S(=O)(=O)N)(F)F,triflate_amide
F,hf
F[C](C(C(C(F)(F)F)(F)F)(F)F)C(C(C(F)(F)F)(F)F)(F)F,4_heptyl
FC(=C)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,71_octene
C=CC(C(C(F)(F)F)(F)F)(F)F,32_pentene
[O]S(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(O)[O],pfhxs
FC(OC(=O)C(F)(F)F)F,cf2_tfa_prod
FC(=C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F)F,octene
O=C=O,co2
F[C@H](C(F)(F)F)OC(C(C(F)(F)F)(F)F)(F)F,e1
OC(=O)CCC(C(C(F)(F)F)(F)F)(F)F,33_ftca
F/C(=C(\C(C(F)(F)F)(F)F)/F)/C(F)(F)F,2_pentene
FC(C(F)([O])O)(F)F,tfcof_oh
O[C](C(F)(F)F)F,cf3cfoh
C=CC(C(F)(F)F)(F)F,22_butene
FC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F,1H_hexane
FC(C(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,fhxsa
CCC(C(F)(F)F)(F)F,22rh
C=CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,62_octene
FC(=C([C](C(F)(F)F)F)F)F,butylallyl
FC(=O)[C](F)F,c2f3_o
F[C](C(F)(F)O)F,c2f4_oh
FC(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)F,heptane
F/C(=C(\C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)/F)/C(F)(F)F,2_heptene
F[C]F.O.O,cf2_2h2o
OCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,42ftoh
FC(=C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F)F,hexene
FC(=C(F)F)F.F[C]F,cpropane_picomplex
FC(F)F,1H_methane
OC(=O)C(F)(F)F,tfa
OC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,pfooh
FC(S(=O)(=O)N)(C(F)(F)F)F,fetsa
FC(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(F)F,fpnsa
[O]O[C](F)F,cf2o2_rad
CCC,propane
F[CH]C(C(F)(F)F)(F)F,cf3cf2chf
