Log Files (Rel. Path),Log Files_x,SMILES,Log Names,Abbreviation,Log Files_y,a0,a1,a2,a3,a4,H_f_0K,S(300K)
qchem_data/log/22rh.log,22rh.log,C(C(CC)(F)F)(F)(F)F,22rh,,,,,,,,,
qchem_data/log/22ftoh.log,22ftoh.log,C(C(CCO)(F)F)(F)(F)F,22ftoh,,,,,,,,,
qchem_data/log/22_ftsa.log,22_ftsa.log,C(C(CCS(=O)(=O)N)(F)F)(F)(F)F,22_ftsa,,,,,,,,,
qchem_data/log/c2f6.log,c2f6.log,C(C(F)(F)F)(F)(F)F,c2f6,,,,,,,,,
qchem_data/log/c2f5h.log,c2f5h.log,C(C(F)(F)F)(F)F,c2f5h,,,,,,,,,
qchem_data/log/fetsa.log,fetsa.log,C(C(S(=O)(=O)N)(F)F)(F)(F)F,fetsa,,,,,,,,,
qchem_data/log/2_octene.log,2_octene.log,C(F)(F)(/C(=C(\F)/C(F)(F)F)/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2_octene,2C8F16,2_octene.log,14.264,0.29254,-0.000289,0.0,-0.0,-771.62,162.83
qchem_data/log/2_heptene.log,2_heptene.log,C(F)(F)(/C(=C(\F)/C(F)(F)F)/F)C(F)(F)C(F)(F)C(F)(F)F,2_heptene,2C7F14,2_heptene.log,12.666,0.2538,-0.00025,0.0,-0.0,-673.36,149.61
qchem_data/log/2_hexene.log,2_hexene.log,C(F)(F)(/C(=C(\F)/C(F)(F)F)/F)C(F)(F)C(F)(F)F,2_hexene,2C6F12,2_hexene.log,10.874,0.21558,-0.000212,0.0,-0.0,-575.6,135.25
qchem_data/log/2_pentene.log,2_pentene.log,C(F)(F)(/C(=C(\F)/C(F)(F)F)/F)C(F)(F)F,2_pentene,2C5F10,2_pentene.log,9.1206,0.17742,-0.000174,0.0,-0.0,-478.17,119.98
qchem_data/log/2_butene.log,2_butene.log,C(F)(F)(/C(=C(\F)/C(F)(F)F)/F)F,2_butene,2C4F8,2_butene.log,7.1603,0.14015,-0.000138,0.0,-0.0,-379.88,106.06
qchem_data/log/octene.log,octene.log,C(F)(F)(C(=C(F)F)F)C(C(C(C(F)(F)C(F)(F)F)(F)F)(F)F)(F)F,octene,1C8F16,octene.log,15.173,0.28984,-0.000286,0.0,-0.0,-763.52,161.73
qchem_data/log/heptene.log,heptene.log,C(F)(F)(C(=C(F)F)F)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,heptene,1C7F14,heptene.log,13.372,0.25169,-0.000248,0.0,-0.0,-665.26,147.34
qchem_data/log/hexene.log,hexene.log,C(F)(F)(C(=C(F)F)F)C(C(C(F)(F)F)(F)F)(F)F,hexene,1C6F12,hexene.log,11.802,0.21282,-0.000209,0.0,-0.0,-567.5,134.2
qchem_data/log/71_octene.log,71_octene.log,C(F)(F)(C(=C)F)C(C(C(C(F)(F)C(F)(F)F)(F)F)(F)F)(F)F,71_octene,,,,,,,,,
qchem_data/log/61_heptene.log,61_heptene.log,C(F)(F)(C(=C)F)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,61_heptene,,,,,,,,,
qchem_data/log/51_hexene.log,51_hexene.log,C(F)(F)(C(=C)F)C(C(C(F)(F)F)(F)F)(F)F,51_hexene,,,,,,,,,
qchem_data/log/41_pentene.log,41_pentene.log,C(F)(F)(C(=C)F)C(C(F)(F)F)(F)F,41_pentene,,,,,,,,,
qchem_data/log/31_butene.log,31_butene.log,C(F)(F)(C(=C)F)C(F)(F)F,31_butene,,,,,,,,,
qchem_data/log/21_propene.log,21_propene.log,C(F)(F)(C(=C)F)F,21_propene,,,,,,,,,
qchem_data/log/tfa.log,tfa.log,C(F)(F)(C(=O)O)F,tfa,TFA,tfa.log,3.9462,0.08361,-7.9e-05,0.0,-0.0,-250.52,80.676
,,C(F)(F)(C(F)(C(F)(F)O)F)F,,C3F7OH,c3f7oh.log,6.8733,0.13708,-0.000135,0.0,-0.0,-412.21,101.53
qchem_data/log/c3f7o.log,c3f7o.log,C(F)(F)(C(F)(C(F)(F)[O])F)F,c3f7o,,,,,,,,,
qchem_data/log/pfpra.log,pfpra.log,C(F)(F)(C(F)(F)C(=O)O)F,pfpra,PFPrA,1_propane.log,5.734,0.12156,-0.000117,0.0,-0.0,-331.96,96.214
qchem_data/log/pfoa.log,pfoa.log,C(F)(F)(C(F)(F)C(F)(F)C(=O)O)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,pfoa,PFOA,1_octane.log,14.415,0.31312,-0.000307,0.0,0.0,-824.72,165.64
qchem_data/log/pfhxa.log,pfhxa.log,C(F)(F)(C(F)(F)C(F)(F)C(=O)O)C(C(F)(F)F)(F)F,pfhxa,PFHxA,1_hexane.log,10.971,0.23643,-0.000231,0.0,-0.0,-627.8,137.71
qchem_data/log/pfhpa.log,pfhpa.log,C(F)(F)(C(F)(F)C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)F,pfhpa,PFHpA,1_heptane.log,12.695,0.27476,-0.000269,0.0,-0.0,-726.25,151.7
qchem_data/log/pfpna.log,pfpna.log,C(F)(F)(C(F)(F)C(F)(F)C(=O)O)C(F)(F)F,pfpna,PFPnA,1_pentane.log,9.2229,0.19813,-0.000193,0.0,-0.0,-529.33,123.69
,,C(F)(F)(C(F)(F)C(F)(F)C(=O)O)F,,PFBA,1_butane.log,7.4932,0.15978,-0.000155,0.0,-0.0,-430.68,110.04
,,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,,C6F14,hexane.log,11.36,0.24597,-0.000244,0.0,-0.0,-713.26,139.81
,,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)O,,C4F9OH,c4f9oh.log,8.3241,0.17634,-0.000174,0.0,-0.0,-510.19,113.68
qchem_data/log/pfooh.log,pfooh.log,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)O)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,pfooh,,,,,,,,,
qchem_data/log/pfhpoh.log,pfhpoh.log,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)O)C(C(F)(F)C(F)(F)F)(F)F,pfhpoh,,,,,,,,,
qchem_data/log/pfhxoh.log,pfhxoh.log,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)O)C(C(F)(F)F)(F)F,pfhxoh,,,,,,,,,
qchem_data/log/pfpeoh.log,pfpeoh.log,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)O)C(F)(F)F,pfpeoh,,,,,,,,,
qchem_data/log/pfboh.log,pfboh.log,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)O)F,pfboh,,,,,,,,,
,,C(F)(F)(C(F)(F)C(F)(F)C(F)F)C(C(F)(F)C(F)(F)C(F)(F)F)(F)F,,C8F17H,octane1H.log,14.24,0.3113,-0.000302,0.0,-0.0,-958.27,164.19
,,C(F)(F)(C(F)(F)C(F)(F)C(F)F)C(C(F)(F)C(F)(F)F)(F)F,,C7F15H,heptane1H.log,12.771,0.27204,-0.000263,0.0,-0.0,-751.79,150.76
,,C(F)(F)(C(F)(F)C(F)(F)C(F)F)C(C(F)(F)F)(F)F,,C6F13H,hexane1H.log,10.96,0.23396,-0.000225,0.0,-0.0,-654.01,136.85
,,C(F)(F)(C(F)(F)C(F)(F)C(F)F)C(F)(F)F,,C5F11H,pentane1H.log,9.373,0.19517,-0.000186,0.0,-0.0,-556.45,123.18
,,C(F)(F)(C(F)(F)C(F)(F)O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,,C7F15OH,c7f15oh.log,13.438,0.29164,-0.000289,0.0,-0.0,-803.55,155.44
,,C(F)(F)(C(F)(F)C(F)(F)O)C(C(C(F)(F)F)(F)F)(F)F,,C6F13OH,c6f13oh.log,11.677,0.2534,-0.000251,0.0,-0.0,-705.78,141.33
,,C(F)(F)(C(F)(F)C(F)(F)O)C(C(F)(F)F)(F)F,,C5F11OH,c5f11oh.log,10.013,0.21486,-0.000212,0.0,-0.0,-608.21,127.61
qchem_data/log/fosa.log,fosa.log,C(F)(F)(C(F)(F)C(F)(F)S(=O)(=O)N)C(C(F)(F)C(C(F)(F)C(F)(F)F)(F)F)(F)F,fosa,,,,,,,,,
qchem_data/log/fhpsa.log,fhpsa.log,C(F)(F)(C(F)(F)C(F)(F)S(=O)(=O)N)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,fhpsa,,,,,,,,,
qchem_data/log/fhxsa.log,fhxsa.log,C(F)(F)(C(F)(F)C(F)(F)S(=O)(=O)N)C(C(F)(F)C(F)(F)F)(F)F,fhxsa,,,,,,,,,
qchem_data/log/fpnsa.log,fpnsa.log,C(F)(F)(C(F)(F)C(F)(F)S(=O)(=O)N)C(C(F)(F)F)(F)F,fpnsa,,,,,,,,,
qchem_data/log/pfos.log,pfos.log,C(F)(F)(C(F)(F)C(F)(F)S([O])([O])O)C(C(F)(F)C(C(F)(F)C(F)(F)F)(F)F)(F)F,pfos,,,,,,,,,
qchem_data/log/pfhps.log,pfhps.log,C(F)(F)(C(F)(F)C(F)(F)S([O])([O])O)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,pfhps,,,,,,,,,
qchem_data/log/pfhxs.log,pfhxs.log,C(F)(F)(C(F)(F)C(F)(F)S([O])([O])O)C(C(F)(F)C(F)(F)F)(F)F,pfhxs,,,,,,,,,
qchem_data/log/pfpes.log,pfpes.log,C(F)(F)(C(F)(F)C(F)(F)S([O])([O])O)C(C(F)(F)F)(F)F,pfpes,,,,,,,,,
qchem_data/log/pfprs.log,pfprs.log,C(F)(F)(C(F)(F)C(F)(F)S([O])([O])O)F,pfprs,,,,,,,,,
qchem_data/log/1H_dodecane.log,1H_dodecane.log,C(F)(F)(C(F)(F)C(F)F)C(C(F)(F)C(C(F)(F)C(F)(F)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1H_dodecane,,,,,,,,,
qchem_data/log/1H_undecane.log,1H_undecane.log,C(F)(F)(C(F)(F)C(F)F)C(C(F)(F)C(C(F)(F)C(F)(F)C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,1H_undecane,,,,,,,,,
qchem_data/log/1H_decane.log,1H_decane.log,C(F)(F)(C(F)(F)C(F)F)C(C(F)(F)C(C(F)(F)C(F)(F)C(C(F)(F)F)(F)F)(F)F)(F)F,1H_decane,,,,,,,,,
qchem_data/log/1H_nonane.log,1H_nonane.log,C(F)(F)(C(F)(F)C(F)F)C(C(F)(F)C(C(F)(F)C(F)(F)C(F)(F)F)(F)F)(F)F,1H_nonane,,,,,,,,,
qchem_data/log/1H_octane.log,1H_octane.log,C(F)(F)(C(F)(F)C(F)F)C(C(F)(F)C(C(F)(F)C(F)(F)F)(F)F)(F)F,1H_octane,,,,,,,,,
qchem_data/log/1H_heptane.log,1H_heptane.log,C(F)(F)(C(F)(F)C(F)F)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,1H_heptane,,,,,,,,,
,,C(F)(F)(C(F)(F)C(F)F)F,,C3F7H,propane1H.log,5.9291,0.11846,-0.00011,0.0,-0.0,-361.38,95.555
qchem_data/log/62ftoh.log,62ftoh.log,C(F)(F)(C(F)(F)CCO)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,62ftoh,,,,,,,,,
qchem_data/log/52ftoh.log,52ftoh.log,C(F)(F)(C(F)(F)CCO)C(C(F)(F)C(F)(F)F)(F)F,52ftoh,,,,,,,,,
qchem_data/log/42ftoh.log,42ftoh.log,C(F)(F)(C(F)(F)CCO)C(C(F)(F)F)(F)F,42ftoh,,,,,,,,,
qchem_data/log/32ftoh.log,32ftoh.log,C(F)(F)(C(F)(F)CCO)C(F)(F)F,32ftoh,,,,,,,,,
qchem_data/log/pfeoh.log,pfeoh.log,C(F)(F)(C(F)(F)O)F,pfeoh,,,,,,,,,
qchem_data/log/pfets.log,pfets.log,C(F)(F)(C(F)(F)S([O])([O])O)F,pfets,,,,,,,,,
qchem_data/log/2_octyl.log,2_octyl.log,C(F)(F)(C(F)(F)[C](F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2_octyl,sC8F17,c8_secondary_rad.log,15.714,0.30607,-0.000304,0.0,-0.0,-917.28,170.93
qchem_data/log/c7_secondary_rad.log,c7_secondary_rad.log,C(F)(F)(C(F)(F)[C](F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,c7_secondary_rad,sC7F15,c7_secondary_rad.log,14.118,0.26726,-0.000265,0.0,-0.0,-710.8,157.13
qchem_data/log/c6_secondary_rad.log,c6_secondary_rad.log,C(F)(F)(C(F)(F)[C](F)C(F)(F)F)C(F)(F)C(F)(F)F,c6_secondary_rad,sC6F13,c6_secondary_rad.log,12.314,0.22917,-0.000227,0.0,-0.0,-613.03,142.85
,,C(F)(F)(C(F)(F)[C](F)C(F)(F)F)C(F)(F)F,,sC5F11,c5_secondary_rad.log,10.623,0.19066,-0.000189,0.0,-0.0,-515.44,129.45
,,C(F)(F)(C(F)(F)[C](F)F)C(C(F)(F)C(C(F)(F)C(F)(F)F)(F)F)(F)F,,C8F17,1_octane_c8_rad.log,15.505,0.30662,-0.000304,0.0,-0.0,-800.34,166.66
,,C(F)(F)(C(F)(F)[C](F)F)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,,C7F15,1_octane_c7_rad.log,16.979,0.25448,-0.000247,0.0,-0.0,-702.8,152.659706
,,C(F)(F)(C(F)(F)[C](F)F)C(C(F)(F)C(F)(F)F)(F)F,,C6F13,c6_rad.log,14.833,0.21805,-0.000211,0.0,-0.0,-605.04,138.77868
,,C(F)(F)(C(F)(F)[C](F)F)C(C(F)(F)F)(F)F,,C5F11,c5_rad.log,12.509,0.1821,-0.000176,0.0,-0.0,-507.44,124.440708
qchem_data/log/c3f6oOH2nd.log,c3f6oOH2nd.log,C(F)(F)(C(F)([C@](F)([O])O)F)F,c3f6oOH2nd,,,,,,,,,
,,C(F)(F)(C(F)F)F,,C2F5H,ethane1H.log,4.1197,0.080406,-7.2e-05,0.0,-0.0,-263.33,79.748
,,C(F)(F)(C(F)F)O,,C2F4H2O,c2f4h2o_prod.log,4.0754,0.088753,-8e-05,0.0,-0.0,-264.63,80.947
qchem_data/log/62_octene.log,62_octene.log,C(F)(F)(C=C)C(C(C(C(F)(F)C(F)(F)F)(F)F)(F)F)(F)F,62_octene,,,,,,,,,
