Abbreviation,Log Name_x,Veri. SMILES,a0,a1,a2,a3,a4,H_f_0K,S_300K ,SMILES,Molecule,Log Name_y,Log Path,Unnamed: 0,Log Mol. Objects
,,F[CH]C(F)(F)C(F)(F)F,,,,,,,,F[CH]C(C(F)(F)F)(F)F,C3HF6,cf3cf2chf,/qchem_data/log_to_pdb_in/cf3cf2chf.log,202,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7accac0>
,,O[C@@](F)([C](F)F)C(F)(F)F,,,,,,,,F[C]([C@](C(F)(F)F)(F)O)F,C3HF6O,hfp_2oh_1rad_prod,/qchem_data/log_to_pdb_in/hfp_2oh_1rad_prod.log,203,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7accb30>
,,F[C@H](C(F)(F)F)C(F)(F)C(F)(F)F,,,,,,,,F[C@@H](C(C(F)(F)F)(F)F)C(F)(F)F,C4HF9,2Hbutane,/qchem_data/log_to_pdb_in/2Hbutane.log,206,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7accc10>
,,O/C(F)=C(/F)C(F)(F)F.[F],,,,,,,,O/C(=C(\C(F)(F)F)/F)/F.[F],C3HF6O,hfp_1oh_ts,/qchem_data/log_to_pdb_in/hfp_1oh_ts.log,208,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7accd60>
,,F[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,F[C](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(F)(F)F)(F)F,C7F15,3_heptyl,/qchem_data/log_to_pdb_in/3_heptyl.log,209,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7accdd0>
,,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(=C)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C6H2F10,51_hexene,/qchem_data/log_to_pdb_in/51_hexene.log,210,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7acce40>
,,O=C(O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,OC(=O)CNS(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C6H4F9NO4S,nmefosaa,/qchem_data/log_to_pdb_in/nmefosaa.log,211,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7acceb0>
,,F[C](F)C(F)F,,,,,,,,FC([C](F)F)F,C2HF4,cf2hcf2,/qchem_data/log_to_pdb_in/cf2hcf2.log,214,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7acd000>
,,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,[O]S(CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)([O])O,C8H5F13O3S,62_fts,/qchem_data/log_to_pdb_in/62_fts.log,215,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7acd070>
,,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,NS(=O)(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C8H6F13NO2S,62_ftsa,/qchem_data/log_to_pdb_in/62_ftsa.log,216,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7acd0e0>
,,O=C(F)[C](F)C(F)(F)F,,,,,,,,FC(=O)[C](C(F)(F)F)F,C3F5O,c3f5co,/qchem_data/log_to_pdb_in/c3f5co.log,218,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7acd1c0>
