Molecule,a0,a1,a2,a3,a4,H_f_0K,S_300K 
c2f4_oh,5.5231,0.083345,-8.1e-05,3.69e-08,-6.35e-12,-210.36,24.195
c2f4o2,7.0756,0.085872,-8.46e-05,3.85e-08,-6.59e-12,-145.69,88.684
epoxide,2.7566,0.081434,-7.99e-05,3.63e-08,-6.21e-12,-230.5,76.054
c3f6o,4.2664,0.11981,-0.00011762,5.33e-08,-9.12e-12,-337.64,91.474
c3f6o2_ring,4.2387,0.13347,-0.00013031,5.87e-08,-9.98e-12,0.0,95.386
c3f6o2_1st,8.4398,0.12567,-0.00012458,5.69e-08,-9.78e-12,0.0,106.04
c4f7_o,8.9241,0.13439,-0.00013079,5.91e-08,-1.01e-11,-300.33,106.98
c2f3_o,7.1063,0.052812,-4.91e-05,2.15e-08,-3.61e-12,-146.25,76.899
cf3cfoh,5.4323,0.083676,-8.14e-05,3.71e-08,-6.4e-12,-231.88,83.107
cf2oh,4.0407,0.043616,-4.06e-05,1.8e-08,-3.05e-12,-109.79,67.02
c2f5,5.8156,0.073558,-7.11e-05,3.18e-08,-5.36e-12,-213.0,81.437321
c3f7,7.0521,0.11421,-0.00011277,5.1348,-8.8107e-12,-312.05,96.762
c4_rad,8.816,0.15248,-0.00015088,6.88e-08,-1.18e-11,-409.98,114.89
c5_rad,12.509,0.1821,-0.00017635,7.89e-08,-1.33e-11,-507.44,124.440708
c6_rad,14.833,0.21805,-0.00021118,9.44e-08,-1.59e-11,-605.04,138.77868
1_octane_c7_rad,16.979,0.25448,-0.00024654,1.1e-07,-1.86e-11,-702.8,152.659706
1_octane_c8_rad,15.505,0.30662,-0.00030447,1.39e-07,-2.4e-11,-800.34,166.66
allene,6.1059,0.069647,-6.67e-05,3e-08,-5.12e-12,-119.08,81.873
cf3ccf2,10.973,0.071301,-6.68e-05,2.93e-08,-4.92e-12,-160.82,90.468
butylallyl,9.4988,0.11984,-0.00011699,5.3e-08,-9.07e-12,-274.97,106.35
1_octane,14.415,0.31312,-0.00030747,1.4e-07,2.41e-11,-824.72,165.64
c7f15oh,13.438,0.29164,-0.0002889,1.32e-07,-2.28e-11,-803.55,155.44
c6f13oh,11.677,0.2534,-0.00025085,1.15e-07,-1.98e-11,-705.78,141.33
c5f11oh,10.013,0.21486,-0.00021245,9.73e-08,-1.68e-11,-608.21,127.61
c4f9oh,8.3241,0.17634,-0.00017406,7.97e-08,-1.38e-11,-510.19,113.68
c3f7oh,6.8733,0.13708,-0.0001347,6.16e-08,-1.06e-11,-412.21,101.53
c2f5oh,4.7496,0.1002,-9.85e-05,4.52e-08,-7.83e-12,-315.65,84.634
cf3oh,2.5913,0.063256,-6.19e-05,2.85e-08,-4.94e-12,-211.99,69.302
1_heptane,12.695,0.27476,-0.00026931,1.23e-07,-2.11e-11,-726.25,151.7
1_hexane,10.971,0.23643,-0.00023117,1.05e-07,-1.81e-11,-627.8,137.71
1_pentane,9.2229,0.19813,-0.00019306,8.77e-08,-1.5e-11,-529.33,123.69
1_butane,7.4932,0.15978,-0.00015489,7.02e-08,-1.2e-11,-430.68,110.04
