,Molecule_x,a0_x,a1_x,a2_x,a3_x,a4_x,S(300K)_x,S(300K)_rnd,Molecule_y,a0_y,a1_y,a2_y,a3_y,a4_y,H_f_0K,S(300K)_y
19,32rh,5.75024724358818,0.163601097989793,-0.000135829012802,5.52101785698567e-08,-8.75592820166941e-12,108.8,108.8,32rh,5.7499,0.1636,-0.00013583,5.521e-08,-8.7559e-12,0.0,108.8
20,33_ftca,5.65924123064633,0.204793799563049,-0.0001766753256552,7.3899374957146e-08,-1.19679733439393e-11,127.082,127.08,33ftca,5.6588,0.20479,-0.00017668,7.3899e-08,-1.1968e-11,0.0,127.08
21,42_fts,8.98795652742177,0.262300050020243,-0.0002404019126724,1.05276830458135e-07,-1.76568242225948e-11,145.438,145.44,42fts,8.9874,0.2623,-0.0002404,1.0528e-07,-1.7657e-11,0.0,145.44
22,42_ftsa,8.21929978642446,0.269508833127552,-0.0002443501454258,1.06517316064288e-07,-1.7831472557035197e-11,146.033,146.03,42ftsa,8.2187,0.26951,-0.00024435,1.0652e-07,-1.7831e-11,0.0,146.03
23,42ftoh,8.72308596468291,0.212477096808538,-0.0001841296603829,7.71081661596294e-08,-1.2484460297755e-11,128.552,128.55,42ftoh,8.7226,0.21248,-0.00018413,7.7108e-08,-1.2484e-11,0.0,128.55
24,42rh,7.31598211788852,0.202455070374313,-0.0001746044241648,7.30152829426237e-08,-1.18314595055122e-11,121.66,121.66,42rh,7.3155,0.20246,-0.0001746,7.3015e-08,-1.1831e-11,0.0,121.66
25,43_ftca,7.28491489448645,0.243487983461934,-0.0002152775399374,9.16201329554483e-08,-1.5028340867887298e-11,140.153,140.15,43fta,7.2844,0.24349,-0.00021528,9.162e-08,-1.5028e-11,0.0,140.15
26,51_hexene,7.68464151109761,0.208557896223028,-0.0001999209470716,8.99867860779827e-08,-1.5373091522547698e-11,124.024,124.02,51_hexene,7.6842,0.20856,-0.00019992,8.9987e-08,-1.5373e-11,0.0,124.02
27,52_heptene,8.74416186527076,0.237521344479502,-0.0002229454721359,9.89254416225221e-08,-1.6728016219143598e-11,134.235,134.24,52_heptene,8.7437,0.23752,-0.00022295,9.8925e-08,-1.6728e-11,0.0,134.24
28,52rh,9.10330329643015,0.240608898828047,-0.0002125301177524,9.03735438663528e-08,-1.48219394848452e-11,135.866,135.87,52rh,9.1028,0.24061,-0.00021253,9.0373e-08,-1.4822e-11,0.0,135.87
29,53_ftca,8.89658359765292,0.282280769938013,-0.000254021576925,1.09419994736874e-07,-1.81040866942662e-11,153.887,153.89,53ftca,8.896,0.28228,-0.00025402,1.0942e-07,-1.8104e-11,0.0,153.89
30,61_heptene,9.33230691077879,0.247248010658594,-0.0002385518764194,1.07730847848177e-07,-1.8438593691156298e-11,137.792,137.79,61_heptene,9.3318,0.24725,-0.00023855,1.0773e-07,-1.8439e-11,0.0,137.79
31,62_fts,12.4215473285624,0.339139911751346,-0.0003169508814028,1.40374730643732e-07,-2.3712040931533298e-11,173.151,173.15,62fts,12.421,0.33914,-0.00031695,1.4037e-07,-2.3712e-11,0.0,173.15
32,62_ftsa,11.6393795012958,0.346480128518413,-0.0003211056286171,1.41736544183021e-07,-2.39112039914312e-11,173.914,173.91,62ftsa,11.639,0.34648,-0.00032111,1.4174e-07,-2.3911e-11,0.0,173.91
33,62_octene,10.4162402308375,0.276039864728333,-0.000261317020771,1.16520630164559e-07,-1.97641016102226e-11,147.991,147.99,62_octene,10.416,0.27604,-0.00026132,1.1652e-07,-1.9764e-11,0.0,147.99
34,62ftab,7.12144242131571,0.528497131094404,-0.0004210595029842,1.65602006495406e-07,-2.55821385782624e-11,224.933,224.93,62ftab,7.1203,0.5285,-0.00042106,1.656e-07,-2.5582e-11,0.0,224.93
35,62ftoh,12.1459775604203,0.289301622094133,-0.000260629066756,1.12171084842242e-07,-1.85320692448342e-11,156.237,156.24,62ftoh,12.145,0.2893,-0.00026063,1.1217e-07,-1.8532e-11,0.0,156.24
36,62rh,10.8214262901848,0.278997067304467,-0.0002507493212453,1.0788808045072e-07,-1.7842329318571698e-11,149.636,149.64,62rh,10.821,0.279,-0.00025075,1.0789e-07,-1.7842e-11,0.0,149.64
37,71_octene,11.2213487455261,0.285052511715887,-0.0002760403449499,1.24856761559818e-07,-2.13848533711147e-11,152.357,152.36,71_octene,11.221,0.28505,-0.00027604,1.2486e-07,-2.1385e-11,0.0,152.36
