Molecule,SMILES,C Count,F Count,Total sp3 Count,sp3 C-F Count,sp3 C-C Count,Total sp2 Count,sp2 C-C Count,Torsions C-C-C-C,Torsions C-C-C-F,Torsions F-C-C-C,Torsions F-C-C-F,Rotatable Bonds Count,O Count,H Count,sp3 H-O Count,sp3 C-O Count,Torsions H-O-C-F,Torsions H-O-C-C,Torsions O-C-C-C,Torsions O-C-C-F,Torsions F-C-C-O,Torsions C-C-C-O,Torsions C-C-O-H,Torsions F-C-O-H,sp2 C-O Count,sp3 C-H Count,Torsions F-C-C-H,Torsions O-C-C-H,sp3 O-O Count,Torsions C-C-O-O,Torsions F-C-O-O,Torsions C-C-C-H,Torsions H-C-O-H,Torsions O-C-O-H,Torsions H-O-C-O,Torsions C-C-O-C,Torsions F-C-O-C,Torsions C-O-C-H,Torsions C-O-C-F,Torsions C-O-C-C,Torsions H-C-C-F,Torsions O-C-C-O,Torsions C-O-C-O,Torsions O-C-O-C,Torsions H-C-C-C,Torsions H-C-C-O,Torsions H-C-C-H,a0,a1,a2,a3,a4,H_f_0K,S_300K 
butene,FC(F)=C(F)C(F)(F)C(F)(F)F,4,8,10,8,2,1,1,1,5,1,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2447,0.13653,-0.00013345,6.05e-08,-1.04e-11,-371.81,104.398839
butene_OH,OC(F)(F)[C](F)C(F)(F)C(F)(F)F,4,8,13,8,3,,,1,5,3,10,4,1,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.959,0.16092,-0.00015895,7.29e-08,-1.26e-11,-419.97,44.901
pentene,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)F,5,10,13,10,3,1,1,2,7,3,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.062,0.17448,-0.00017105,7.77e-08,-1.33e-11,-470.07,119.44
hexene,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,12,16,12,4,1,1,3,8,6,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.802,0.21282,-0.00020922,9.51e-08,-1.63e-11,-567.5,134.2
heptene,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,14,19,14,5,1,1,4,10,8,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.372,0.25169,-0.00024804,1.13e-07,-1.94e-11,-665.26,147.34
octene,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,16,22,16,6,1,1,5,12,10,24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.173,0.28984,-0.00028597,1.3e-07,-2.24e-11,-763.52,161.73
butene_2OH,O[C@](F)([C](F)F)C(F)(F)C(F)(F)F,4,8,13,8,3,,,1,4,4,10,4,1,1,1,1,,,,,4,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,8.3784,0.16198,-0.00015979,7.32e-08,-1.27e-11,-414.97,44.591
2_pentene,F/C(=C(/F)C(F)(F)C(F)(F)F)C(F)(F)F,5,10,13,10,3,1,1,1,7,2,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1206,0.17742,-0.00017433,7.92e-08,-1.36e-11,-478.17,119.98
2_hexene,F/C(=C(/F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,6,12,16,12,4,1,1,2,9,4,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.874,0.21558,-0.0002122,9.65e-08,-1.66e-11,-575.6,135.25
2_heptene,F/C(=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,7,14,19,14,5,1,1,3,11,6,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.666,0.2538,-0.00025026,1.14e-07,-1.96e-11,-673.36,149.61
2_octene,F/C(=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,8,16,22,16,6,1,1,4,13,8,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.264,0.29254,-0.00028888,1.32e-07,-2.26e-11,-771.62,162.83
c2f3_o,O=C(F)[C](F)F,2,3,4,3,1,1,,,,,2,1,1,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,7.1063,0.052812,-4.91e-05,2.15e-08,-3.61e-12,-146.25,76.899
c2f4h2o_prod,OC(F)(F)C(F)F,2,4,8,4,1,,,,,,4,2,1,2,1,1,,,,2,,,1,2,,1,2,1,,,,,,,,,,,,,,,,,,,,4.0754,0.088753,-7.97e-05,3.44e-08,-5.7e-12,-264.63,80.947
c2f4o2,[O]OC(F)(F)[C](F)F,2,4,7,4,1,,,,,,4,2,2,,,1,,,,,2,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,7.0756,0.085872,-8.46e-05,3.85e-08,-6.59e-12,-145.69,88.684
