Molecule,SMILES,C Count,F Count,Total sp3 Count,sp3 C-F Count,sp3 C-C Count,Total sp2 Count,sp2 C-C Count,Torsions C-C-C-C,Torsions C-C-C-F,Torsions F-C-C-C,Torsions F-C-C-F,Rotatable Bonds Count,O Count,H Count,sp3 H-O Count,sp3 C-O Count,Torsions H-O-C-F,Torsions H-O-C-C,Torsions O-C-C-C,Torsions O-C-C-F,Torsions F-C-C-O,Torsions C-C-C-O,Torsions C-C-O-H,Torsions F-C-O-H,sp2 C-O Count,sp3 C-H Count,Torsions F-C-C-H,Torsions O-C-C-H,sp3 O-O Count,Torsions C-C-O-O,Torsions F-C-O-O,Torsions C-C-C-H,Torsions H-C-O-H,Torsions O-C-O-H,Torsions H-O-C-O,Torsions C-C-O-C,Torsions F-C-O-C,Torsions C-O-C-H,Torsions C-O-C-F,Torsions C-O-C-C,Torsions H-C-C-F,Torsions O-C-C-O,Torsions C-O-C-O,Torsions O-C-O-C,Torsions H-C-C-C,Torsions H-C-C-O,Torsions H-C-C-H,a0,a1,a2,a3,a4,H_f_0K,S_300K 
c2f4_oh,OC(F)(F)[C](F)F,2,4,7,4,1,,,,,,4,2,1,1,1,1,,,,,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,5.5231,0.083345,-8.1e-05,3.69e-08,-6.35e-12,-210.36,24.195
c2f5oh,OC(F)(F)C(F)(F)F,2,5,8,5,1,,,,,,6,2,1,1,1,1,,,,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,4.7496,0.1002,-9.85e-05,4.52e-08,-7.83e-12,-315.65,84.634
c3f6o2_1st,[O]OC(F)(F)[C](F)C(F)(F)F,3,6,10,6,2,,,,5,,5,3,2,,,1,,,,,1,1,,,,,,,1,1,2,,,,,,,,,,,,,,,,,8.4398,0.12567,-0.00012458,5.69e-08,-9.78e-12,0.0,106.04
c3f7,F[C](F)C(F)(F)C(F)(F)F,3,7,9,7,2,,,,2,3,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0521,0.11421,-0.00011277,5.1348,-8.8107e-12,-312.05,96.762
propane1H,FC(F)C(F)(F)C(F)(F)F,3,7,10,7,2,,,,2,3,10,2,,1,,,,,,,,,,,,1,2,,,,,1,,,,,,,,,,,,,,,,5.9291,0.11846,-0.00011,4.81e-08,-8.01e-12,-361.38,95.555
c3f7oh,OC(F)(F)C(F)(F)C(F)(F)F,3,7,11,7,2,,,,2,3,10,3,1,1,1,1,,,,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,6.8733,0.13708,-0.0001347,6.16e-08,-1.06e-11,-412.21,101.53
butane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,10,13,10,3,,,1,5,5,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0151,0.16889,-0.00016744,7.65e-08,-1.32e-11,-516.57,112.543919
c4f7_o,O=C(F)[C](F)C(F)(F)C(F)(F)F,4,7,10,7,3,1,,1,6,1,9,3,1,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,8.9241,0.13439,-0.00013079,5.91e-08,-1.01e-11,-300.33,106.98
c4_rad,F[C](F)C(F)(F)C(F)(F)C(F)(F)F,4,9,12,9,3,,,1,7,2,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.816,0.15248,-0.00015088,6.88e-08,-1.18e-11,-409.98,114.89
butane1H,FC(F)C(F)(F)C(F)(F)C(F)(F)F,4,9,13,9,3,,,1,4,5,14,3,,1,,,,,,,,,,,,1,2,,,,,1,,,,,,,,,,,,,,,,7.3881,0.1577,-0.00014927,6.61e-08,-1.11e-11,-458.61,108.51
c4f9oh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,9,14,9,3,,,1,5,4,14,4,1,1,1,1,,,1,2,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,8.3241,0.17634,-0.00017406,7.97e-08,-1.38e-11,-510.19,113.68
c5_rad,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,11,15,11,4,,,2,9,4,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.509,0.1821,-0.00017635,7.89e-08,-1.33e-11,-507.44,124.440708
pentane1H,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,11,16,11,4,,,2,9,4,18,4,,1,,,,,,,,,,,,1,2,,,,,1,,,,,,,,,,,,,,,,9.373,0.19517,-0.00018633,8.3e-08,-1.4e-11,-556.45,123.18
c5f11oh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,11,17,11,4,,,2,9,4,18,5,1,1,1,1,,,,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,10.013,0.21486,-0.00021245,9.73e-08,-1.68e-11,-608.21,127.61
pentane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,12,16,12,4,,,2,7,7,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7925,0.20703,-0.00020533,9.38e-08,-1.61e-11,-615.05,126.598051
c6_rad,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,13,18,13,5,,,3,11,6,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.833,0.21805,-0.00021118,9.44e-08,-1.59e-11,-605.04,138.77868
hexane1H,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,13,19,13,5,,,3,11,6,22,5,,1,,,,,,,,,,,,1,2,,,,,1,,,,,,,,,,,,,,,,10.96,0.23396,-0.00022504,1.01e-07,-1.71e-11,-654.01,136.85
c6f13oh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,13,20,13,5,,,3,11,6,22,6,1,1,1,1,,,,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,11.677,0.2534,-0.00025085,1.15e-07,-1.98e-11,-705.78,141.33
hexane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,14,19,14,5,,,3,9,9,24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.36,0.24597,-0.00024426,1.1171e-07,-1.9232e-11,-713.26,139.81
1_octane_c7_rad,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,15,21,15,6,,,4,13,8,26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.979,0.25448,-0.00024654,1.1e-07,-1.86e-11,-702.8,152.659706
heptane1H,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,15,22,15,6,,,4,13,8,26,6,,1,,,,,,,,,,,,1,2,,,,,1,,,,,,,,,,,,,,,,12.771,0.27204,-0.00026288,1.18e-07,-2.01e-11,-751.79,150.76
c7f15oh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,15,23,15,6,,,4,13,8,26,7,1,1,1,1,,,,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,13.438,0.29164,-0.0002889,1.32e-07,-2.28e-11,-803.55,155.44
heptane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,16,22,16,6,,,4,11,11,28,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.078,0.28431,-0.00028241,1.29e-07,-2.22e-11,-811.67,153.808976
1_octane_c8_rad,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,17,24,17,7,,,5,15,10,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.505,0.30662,-0.00030447,1.39e-07,-2.4e-11,-800.34,166.66
octane1H,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,17,25,17,7,,,5,15,10,30,7,,1,,,,,,,,,,,,1,2,,,,,1,,,,,,,,,,,,,,,,14.24,0.3113,-0.00030219,1.36e-07,-2.32e-11,-958.27,164.19
n_octane_twisted,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,18,25,18,7,,,5,13,13,32,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.412,0.32398,-0.00032223,1.48e-07,-2.54e-11,-909.28,166.526512
cf2_2h2o_prod,O.OC(F)F,1,2,7,2,,,,,,,,1,2,4,3,1,,,,,,,,2,,1,,,,,,,1,,,,,,,,,,,,,,,14.805,0.024927,-2.07e-05,9.06e-09,-1.56e-12,-238.46,81.788
cf2coho,O=C(O)[C](F)F,2,2,5,2,1,1,,,,,,2,2,1,1,1,,,,,4,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,6.6578,0.060926,-5.53e-05,2.42e-08,-4.06e-12,-269.0,78.453
cf2_h2o_ts_prod,OC(F)F,1,2,5,2,,,,,,,,1,1,2,1,1,,,,,,,,2,,1,,,,,,,1,,,,,,,,,,,,,,,2.7417,0.048881,-3.95e-05,1.58e-08,-2.47e-12,-159.19,65.583
cf2o2_rad,[O]O[C](F)F,1,2,4,2,,,,,,,,1,2,,,1,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,5.1022,0.046575,-4.5e-05,2.03e-08,-3.48e-12,-41.1,69.181
cf2o_2h2oprod,O.OC(O)(F)F,1,2,8,2,,,,,,,,2,3,4,4,2,,,,,,,,4,,,,,,,,,,2,,,,,,,,,,,,,,8.1811,0.088948,-8.59e-05,4.05e-08,-7.26e-12,-295.56,88.046
cf2oh,O[C](F)F,1,2,4,2,,,,,,,,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.997,0.043748,-4.08e-05,1.81e-08,-3.07e-12,-109.79,13.856
cf2oh,O[C](F)F,1,2,4,2,,,,,,,,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0407,0.043616,-4.06e-05,1.8e-08,-3.05e-12,-109.79,67.02
cf2oh2,OC(O)(F)F,1,2,6,2,,,,,,,,2,2,2,2,2,,,,,,,,4,,,,,,,,,,2,,,,,,,,,,,,,,2.7915,0.070727,-6.84e-05,3.16e-08,-5.52e-12,-217.61,70.838
cf2oh2,OC(O)(F)F,1,2,6,2,,,,,,,,2,2,2,2,2,,,,,,,,4,,,,,,,,,,2,,,,,,,,,,,,,,2.252,0.072219,-7e-05,3.24e-08,-5.66e-12,-212.82,70.375
cf2o_oh,[O]C(O)(F)F,1,2,5,2,,,,,,,,1,2,1,1,2,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2.885,0.063918,-6.36e-05,2.96e-08,-5.18e-12,0.0,70.725
cf3cfoh,O[C](F)C(F)(F)F,2,4,7,4,1,,,,,,3,2,1,1,1,1,,,,3,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,5.4323,0.083676,-8.14e-05,3.71e-08,-6.4e-12,-231.88,83.107
cfoh_cis,O[C]F,1,1,3,1,,,,,,,,1,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3.9553,0.027276,-2.21e-05,8.77e-09,-1.35e-12,-159.77,59.289
cfoh3,OC(O)(O)F,1,1,7,1,,,,,,,,3,3,3,3,3,,,,,,,,3,,,,,,,,,,6,,,,,,,,,,,,,,2.55,0.079268,-7.59e-05,3.52e-08,-6.19e-12,-207.12,71.934
co2h,O=[C]O,1,,2,,,1,,,,,,1,2,1,1,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,5.1135,0.022545,-1.7e-05,6.53e-09,-9.96e-13,-45.14,60.148
e1,F[C@@H](OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,5,11,17,11,3,,,,2,3,13,5,1,1,,2,,,,3,2,1,,,,1,,,,,,,,,,1,2,1,1,1,3,,,,,,,8.5402,0.21078,-0.00020132,8.97e-08,-1.51e-11,0.0,130.72
e1_minusH,F[C](OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,5,11,16,11,3,,,,2,3,13,5,1,,,2,,,,3,2,1,,,,,,,,,,,,,,1,2,,1,1,,,,,,,,9.656,0.20642,-0.00020377,9.27e-08,-1.59e-11,0.0,134.41
frd_903,O=C(O)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,6,11,19,11,4,1,,,5,3,13,7,3,1,1,3,,,,3,4,3,1,,1,,,,,,,,,1,,1,2,,1,2,,2,,,,,,10.06,0.25241,-0.00024666,1.12e-07,-1.92e-11,0.0,143.52
frd_903_carbF,O=C(F)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,6,12,18,12,4,1,,,6,3,14,6,2,,,2,,,,4,3,2,,,1,,,,,,,,,,,1,2,,1,2,,1,,,,,,11.577,0.2409,-0.00023634,1.07e-07,-1.84e-11,0.0,144.76
frd_903_carbF_OH,[O]C(O)(F)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,6,12,21,12,4,,,,6,3,14,7,3,1,1,4,,,,4,4,3,1,1,,,,,,,,,,1,,1,2,,1,2,,2,,,,,,11.034,0.27026,-0.00026829,1.23e-07,-2.13e-11,0.0,148.82
ester_oh,[O]C(O)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,5,10,18,10,3,,,,2,3,10,6,3,1,1,4,,,,,11,1,1,,,,,,,,,,,2,,1,2,,,1,,,2,,,,,9.5262,0.23254,-0.00023163,1.07e-07,-1.85e-11,0.0,136.34
ester,O=C(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,5,10,15,10,3,1,,,2,3,10,5,2,,,2,,,,6,2,1,,,1,,,,,,,,,,,1,2,,,1,,,1,,,,,9.7623,0.20242,-0.00019772,8.94e-08,-1.53e-11,0.0,131.11
frd_903_0HFAts_prod_minusHF,O=C1O[C@]1(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,6,10,18,10,4,1,,,5,3,10,5,3,,,4,,,,6,2,1,,,1,,,,,,,,,,,1,2,,,2,,,1,,,,,9.2867,0.23195,-0.00022741,1.03e-07,-1.77e-11,0.0,138.47
1_butane,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,4,7,12,7,3,1,,1,2,5,10,4,2,1,1,1,,,,,4,2,1,,1,,,,,,,,,1,,,,,,,,,,,,,,7.4932,0.15978,-0.00015489,7.02e-08,-1.2e-11,-430.68,110.04
pfbal,O=C(F)C(F)(F)C(F)(F)C(F)(F)F,4,8,11,8,3,1,,1,3,5,12,3,1,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,8.7828,0.1493,-0.00014605,6.62e-08,-1.13e-11,-427.98,109.8
pfhpal,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,14,20,14,6,1,,4,12,8,24,6,1,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,14.026,0.26416,-0.00026033,1.19e-07,-2.04e-11,-723.56,151.43
pfhxal,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,12,17,12,5,1,,3,10,6,20,5,1,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,12.294,0.22583,-0.00022218,1.01e-07,-1.73e-11,-625.09,137.47
1_heptane,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,13,21,13,6,1,,4,11,8,22,7,2,1,1,1,,,,,4,2,1,,1,,,,,,,,,1,,,,,,,,,,,,,,12.695,0.27476,-0.00026931,1.23e-07,-2.11e-11,-726.25,151.7
1_hexane,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,11,18,11,5,1,,3,9,6,18,6,2,1,1,1,,,,,4,2,1,,1,,,,,,,,,1,,,,,,,,,,,,,,10.971,0.23643,-0.00023117,1.05e-07,-1.81e-11,-627.8,137.71
1_octane,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,15,24,15,7,1,,5,13,10,26,8,2,1,1,1,,,,,4,2,1,,1,,,,,,,,,1,,,,,,,,,,,,,,14.415,0.31312,-0.00030747,1.4e-07,2.41e-11,-824.72,165.64
pfpal,O=C(F)C(F)(F)C(F)(F)F,3,6,8,6,2,1,,,1,3,8,2,1,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,6.9898,0.11121,-0.00010823,4.89e-08,-8.36e-12,-329.38,95.557
pfpnal,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,10,14,10,4,1,,2,8,4,16,4,1,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,10.555,0.18749,-0.00018403,8.36e-08,-1.43e-11,-526.63,123.47
1_pentane,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,9,15,9,4,1,,2,7,4,14,5,2,1,1,1,,,,,4,2,1,,1,,,,,,,,,1,,,,,,,,,,,,,,9.2229,0.19813,-0.00019306,8.77e-08,-1.5e-11,-529.33,123.69
1_propane,O=C(O)OC(F)(F)C(F)(F)C(F)(F)F,4,7,13,7,2,1,,,2,3,10,5,3,1,1,3,,,,,2,1,,,1,,,,,,,,,2,,1,2,,,,,,,2,,,,5.734,0.12156,-0.00011689,5.28e-08,-9.03e-12,-331.96,96.214
tfcof_oh,[O]C(O)(F)C(F)(F)F,2,4,8,4,1,,,,,,3,2,2,1,1,2,,,,,6,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,4.6524,0.10215,-0.0001018,4.72e-08,-8.23e-12,0.0,85.745
butylallyl,F[C](C(F)=C(F)F)C(F)(F)F,4,7,9,7,2,1,1,1,4,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4988,0.11984,-0.00011699,5.3e-08,-9.07e-12,-274.97,106.35
butylallyl,F[C](C(F)=C(F)F)C(F)(F)F,4,7,9,7,2,1,1,1,4,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4988,0.11984,-0.00011699,5.2971e-08,-9.0669e-12,-274.97,106.35
cbutane_diradical,F[C](F)C(F)(F)C(F)(F)[C](F)F,4,8,11,8,3,,,1,2,6,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9754,0.13412,-0.00013135,5.94e-08,-1.01e-11,-296.79,107.9
c4_secondary_rad,F[C](C(F)(F)F)C(F)(F)C(F)(F)F,4,9,12,9,3,,,1,7,2,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7357,0.153,-0.00015161,6.92e-08,-1.19e-11,-417.63,113.918165
c4f9H_secondary,F[C@@H](C(F)(F)F)C(F)(F)C(F)(F)F,4,9,13,9,3,,,1,4,5,11,3,,1,,,,,,,,,,,,1,5,,,,,1,,,,,,,,,,,,,,,,6.6609,0.16006,-0.00015202,6.75e-08,-1.14e-11,-457.83,107.67
c5_secondary_rad,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,5,11,15,11,4,,,2,9,4,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.623,0.19066,-0.00018888,8.62e-08,-1.48e-11,-515.44,129.45
c6_secondary_rad,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,13,18,13,5,,,3,11,6,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.314,0.22917,-0.00022726,1.04e-07,-1.79e-11,-613.03,142.85
c7_secondary_rad,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,15,21,15,6,,,4,13,8,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.118,0.26726,-0.0002651,1.21e-07,-2.08e-11,-710.8,157.13
c8_secondary_rad,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,17,24,17,7,,,5,15,10,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.714,0.30607,-0.00030385,1.39e-07,-2.39e-11,-917.28,170.93
1H_butane,FC(F)C(F)(F)C(F)(F)C(F)(F)F,4,9,13,9,3,,,1,5,4,14,3,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,1,,,7.3837,0.15771,-0.00014929,6.615e-08,-1.1138e-11,0.0,108.5
1H_decane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10,21,31,21,9,,,7,19,14,38,9,,1,,,,,,,,,,,,1,2,,,,,1,,,,,,,,,,,,,,,,17.974,0.38707,-0.00037737,1.7058e-07,-2.9135e-11,0.0,193.25
1H_dodecane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,12,25,37,25,11,,,9,23,18,46,11,,1,,,,,,,,,,,,1,2,,,,,1,,,,,,,,,,,,,,,,21.372,0.46396,-0.00045395,2.0568e-07,-3.519e-11,0.0,220.31
1H_hexane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,13,19,13,5,,,3,8,9,22,5,,1,,,,,,,,,,,,1,2,,,,,1,,,,,,,,,,,,,,,,10.97,0.23395,-0.00022503,1.008e-07,-1.7106e-11,0.0,136.86
1H_pentane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,11,16,11,4,,,2,6,7,18,4,,1,,,,,,,,,,,,1,2,,,,,1,,,,,,,,,,,,,,,,9.3716,0.19518,-0.00018634,8.3041e-08,-1.4038e-11,0.0,123.17
1H_propane,FC(F)C(F)(F)C(F)(F)F,3,7,10,7,2,,,,2,3,10,2,,1,,,,,,,,,,,,1,2,,,,,1,,,,,,,,,,,,,,,,5.93,0.11846,-0.00010999,4.806e-08,-8.0068e-12,0.0,95.578
1H_undecane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,11,23,34,23,10,,,8,21,16,42,10,,1,,,,,,,,,,,,1,2,,,,,1,,,,,,,,,,,,,,,,19.677,0.42541,-0.00041548,1.8802e-07,-3.214e-11,0.0,206.63
