Molecule,IUPAC,sp2 Pair Count C-C,sp2 Pair Count C-O,sp2 Pair Count O-O,sp2 Total Count,sp3 Pair Count C-C,sp3 Pair Count C-F,sp3 Pair Count C-H,sp3 Pair Count C-O,sp3 Pair Count F-H,sp3 Pair Count H-O,sp3 Pair Count O-O,sp3 Total Count,Num. Atoms C,Num. Atoms F,Num. Atoms H,Num. Atoms O,SMILES,Torsions Number of Rot. Bonds,a0,a1,a2,a3,a4,H_f_0K,S(300K)
2_butene_ip,C4F8,1.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,8.0,0.0,0.0,F/C(=C(/F)C(F)(F)F)C(F)(F)F,0,7.1603,0.14015,-0.00013764,6.256e-08,-1.0733e-11,-379.88,106.06
cf3co,C2F3O,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,1.0,O=[C]C(F)(F)F,0,5.8249,0.059384,-5.8436e-05,2.6774e-08,-4.637e-12,-147.16,77.255
o2,O2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,O=O,0,6.4985,0.0010753,2.0695e-06,-1.9132e-09,4.4411e-13,0.0,48.998
propene_calpha_rad,C3F5,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,0.0,0.0,F/[C]=C(\F)C(F)(F)F,0,,,,,,,
c3f6o,C3F6O,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,10.0,3.0,6.0,0.0,1.0,FC(F)(F)[C@@]1(F)OC1(F)F,0,4.2664,0.11981,-0.00011762,5.3321e-08,-9.1184e-12,-337.64,91.474
h2o,H2O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,O,0,7.7961,-0.0003717,3.9034e-06,-1.9865e-09,3.1579e-13,-57.1,46.425211
chfo2,CHFO2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,O=C(O)F,0,2.7681,0.043835,-3.9674e-05,1.7435e-08,-2.9453e-12,0.0,63.927
cf2_h2o_ts_react,CH2F2O,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0,2.0,1.0,F[C]F.O,0,14.805,0.024927,-2.0714e-05,9.0626e-09,-1.556e-12,-104.47,81.788
propene_talphaF_rad,C3F5,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,0.0,0.0,F/[C]=C(/F)C(F)(F)F,0,,,,,,,
cf2cf,C2F3,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,F[C]=C(F)F,0,6.0601,0.042627,-3.9863e-05,1.7546e-08,-2.947e-12,0.0,71.369
