Molecule,IUPAC,sp2 Pair Count C-O,sp2 Pair Count O-S,sp2 Total Count,sp3 Pair Count C-C,sp3 Pair Count C-F,sp3 Pair Count C-H,sp3 Pair Count C-N,sp3 Pair Count C-O,sp3 Pair Count C-S,sp3 Pair Count H-N,sp3 Pair Count H-O,sp3 Pair Count N-S,sp3 Pair Count O-S,sp3 Total Count,Num. Atoms C,Num. Atoms F,Num. Atoms H,Num. Atoms N,Num. Atoms O,Num. Atoms S,SMILES,Torsions Number of Rot. Bonds,C-C-C-C Torsions,C-C-C-F Torsions,C-C-C-H Torsions,C-C-C-S Torsions,C-C-O-H Torsions,C-C-S-N Torsions,C-C-S-O Torsions,C-S-N-C Torsions,C-S-N-H Torsions,C-S-O-H Torsions,F-C-C-C Torsions,F-C-C-F Torsions,F-C-C-H Torsions,F-C-C-S Torsions,F-C-S-N Torsions,F-C-S-O Torsions,H-C-C-C Torsions,H-C-C-F Torsions,H-C-C-H Torsions,H-C-C-O Torsions,H-C-C-S Torsions,H-C-S-N Torsions,H-C-S-O Torsions,H-N-C-C Torsions,H-N-C-H Torsions,N-C-C-O Torsions,O-C-O-H Torsions,O-S-C-C Torsions,O-S-C-H Torsions,O-S-N-C Torsions,O-S-N-H Torsions,O-S-O-H Torsions,S-C-C-C Torsions,S-C-C-H Torsions,S-N-C-C Torsions,S-N-C-H Torsions,a0,a1,a2,a3,a4,H_f_0K,S(300K)
pfos,C8HF17O3S,0.0,0.0,0.0,7.0,17,0.0,0.0,0.0,1,0.0,1.0,0.0,3.0,29,8,17,1,0.0,3,1,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,9,5.0,15.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,10.0,30.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.356,0.36775,-0.0003671,1.6911e-07,-2.9308e-11,0.0,187.1
fprsa,C3H2F7NO2S,0.0,2.0,2.0,2.0,7,0.0,0.0,0.0,1,2.0,0.0,1.0,0.0,13,3,7,2,1.0,2,1,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F,4,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,3.0,10.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,9.4579,0.18306,-0.00018108,8.3705e-08,-1.4597e-11,0.0,117.13
42_ftsa,C6H6F9NO2S,0.0,2.0,2.0,5.0,9,4.0,0.0,0.0,1,2.0,0.0,1.0,0.0,22,6,9,6,1.0,2,1,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,3.0,7.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,6.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.2187,0.26951,-0.00024435,1.0652e-07,-1.7831e-11,0.0,146.03
52_fts,C7H5F11O3S,0.0,0.0,0.0,6.0,11,4.0,0.0,0.0,1,0.0,1.0,0.0,3.0,26,7,11,5,0.0,3,1,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,4.0,9.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,8.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.63,0.30094,-0.00027894,1.2296e-07,-2.0711e-11,0.0,158.75
pfpes,C5HF11O3S,0.0,0.0,0.0,4.0,11,0.0,0.0,0.0,1,0.0,1.0,0.0,3.0,20,5,11,1,0.0,3,1,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,2.0,9.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,18.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,
fhpsa,C7H2F15NO2S,0.0,2.0,2.0,6.0,15,0.0,0.0,0.0,1,2.0,0.0,1.0,0.0,25,7,15,2,1.0,2,1,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,4.0,13.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,8.0,26.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,16.036,0.33743,-0.00033486,1.5421e-07,-2.676e-11,0.0,172.27
32_fts,C5H5F7O3S,0.0,0.0,0.0,4.0,7,4.0,0.0,0.0,1,0.0,1.0,0.0,3.0,20,5,7,5,0.0,3,1,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)F,6,2.0,5.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.3234,0.22377,-0.00020204,8.7692e-08,-1.4624e-11,0.0,132.06
22_ftsa,C4H6F5NO2S,0.0,2.0,2.0,3.0,5,4.0,0.0,0.0,1,2.0,0.0,1.0,0.0,16,4,5,6,1.0,2,1,NS(=O)(=O)CCC(F)(F)C(F)(F)F,5,1.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.8978,0.19245,-0.00016763,7.1358e-08,-1.1768e-11,0.0,117.55
pfbs,C4HF9O3S,0.0,0.0,0.0,3.0,9,0.0,0.0,0.0,1,0.0,1.0,0.0,3.0,17,4,9,1,0.0,3,1,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,1.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,14.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.175,0.21519,-0.00021542,9.9673e-08,-1.7344e-11,0.0,129.89
triflate_amide,CH2F3NO2S,0.0,2.0,2.0,0.0,3,0.0,0.0,0.0,1,2.0,0.0,1.0,0.0,7,1,3,2,1.0,2,1,NS(=O)(=O)C(F)(F)F,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.7568,0.10706,-0.00010551,4.9102e-08,-8.6328e-12,0.0,87.728
pfhxs,C6HF13O3S,0.0,0.0,0.0,5.0,13,0.0,0.0,0.0,1,0.0,1.0,0.0,3.0,23,6,13,1,0.0,3,1,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,3.0,11.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,22.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.784,0.29118,-0.00029077,1.341e-07,-2.3269e-11,0.0,158.46
fhxsa,C6H2F13NO2S,0.0,2.0,2.0,5.0,13,0.0,0.0,0.0,1,2.0,0.0,1.0,0.0,22,6,13,2,1.0,2,1,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,3.0,11.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,6.0,22.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
fetsa,C2H2F5NO2S,0.0,2.0,2.0,1.0,5,0.0,0.0,0.0,1,2.0,0.0,1.0,0.0,10,2,5,2,1.0,2,1,NS(=O)(=O)C(F)(F)C(F)(F)F,3,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,6.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.802,0.14442,-0.00014251,6.5988e-08,-1.1535e-11,0.0,104.17
fpnsa,C5H2F11NO2S,0.0,2.0,2.0,4.0,11,0.0,0.0,0.0,1,2.0,0.0,1.0,0.0,19,5,11,2,1.0,2,1,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,2.0,9.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,4.0,18.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
nmefosaa,C6H4F9NO4S,1.0,2.0,3.0,4.0,9,2.0,1.0,1.0,1,1.0,1.0,1.0,0.0,21,6,9,4,1.0,4,1,O=C(O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,1.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,5.0,14.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,11.743,0.27613,-0.00025754,1.1408e-07,-1.9287e-11,0.0,153.14
62_fts,C8H5F13O3S,0.0,0.0,0.0,7.0,13,4.0,0.0,0.0,1,0.0,1.0,0.0,3.0,29,8,13,5,0.0,3,1,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,9,5.0,11.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,10.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.421,0.33914,-0.00031695,1.4037e-07,-2.3712e-11,0.0,173.15
62_ftsa,C8H6F13NO2S,0.0,2.0,2.0,7.0,13,4.0,0.0,0.0,1,2.0,0.0,1.0,0.0,28,8,13,6,1.0,2,1,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,9,5.0,11.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,10.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.639,0.34648,-0.00032111,1.4174e-07,-2.3911e-11,0.0,173.91
